CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
100000077,Existing Customer,30,F,5,Uneducated,Divorced,Unknown,Blue,25,2,4,4,21207.56,645.9,20561.66,1.35,4493,76,0.33,0.03
100000078,Existing Customer,62,M,4,Graduate,Married,$60K - $80K,Blue,46,1,3,5,21532.64,684.01,20848.63,0.57,16424,80,1.41,0.03
100000079,Existing Customer,45,F,3,College,Married,$60K - $80K,Blue,32,4,2,6,11374.35,1067.0,10307.35,0.45,4978,139,1.34,0.09
100000080,Attrited Customer,49,M,0,Doctorate,Single,Unknown,Blue,47,4,4,1,20434.22,76.97,20357.25,2.71,8650,86,0.99,0.0
100000081,Existing Customer,61,M,0,Doctorate,Divorced,Unknown,Blue,34,6,0,0,4875.1,2285.63,2589.47,0.74,10388,143,0.49,0.47
100000082,Existing Customer,59,M,5,College,Single,Unknown,Blue,57,3,1,5,25717.02,1767.69,23949.33,1.23,2143,137,1.69,0.07
100000083,Existing Customer,70,M,3,Graduate,Married,$120K +,Blue,31,6,6,1,1765.94,209.87,1556.07,1.51,5914,148,1.57,0.12
100000084,Existing Customer,59,M,0,Doctorate,Single,$80K - $120K,Blue,37,1,6,4,2201.05,436.74,1764.31,0.43,5744,91,1.89,0.2
100000085,Existing Customer,44,M,5,College,Married,$80K - $120K,Blue,38,5,0,6,30588.78,1507.77,29081.01,0.59,18114,78,1.88,0.05
100000086,Existing Customer,42,M,2,College,Married,Less than $40K,Blue,52,3,0,0,20729.76,2271.26,18458.5,1.67,12504,12,0.8,0.11
100000087,Existing Customer,30,M,3,College,Married,$60K - $80K,Blue,25,6,5,4,6539.08,219.04,6320.04,2.16,17208,141,2.0,0.03
100000088,Attrited Customer,50,F,2,Post-Graduate,Single,$80K - $120K,Blue,47,4,4,1,21455.7,1083.26,20372.44,2.56,15183,42,2.06,0.05
100000089,Existing Customer,43,F,3,Doctorate,Divorced,Unknown,Blue,15,5,4,0,13574.83,500.03,13074.8,2.62,18683,46,2.4,0.04
100000090,Existing Customer,33,M,2,High School,Single,$120K +,Blue,37,2,2,1,10175.51,450.85,9724.66,1.73,5641,107,2.12,0.04
100000091,Existing Customer,52,M,2,Post-Graduate,Married,Less than $40K,Blue,55,1,2,0,28585.04,1825.22,26759.82,1.0,16828,35,1.77,0.06
100000092,Existing Customer,40,M,0,Graduate,Single,$60K - $80K,Blue,51,2,4,3,17228.49,2066.23,15162.26,1.82,17503,137,1.54,0.12
100000093,Existing Customer,70,F,3,Post-Graduate,Married,$60K - $80K,Blue,27,4,3,0,10978.09,2302.86,8675.23,1.94,14612,149,1.31,0.21
100000094,Existing Customer,38,M,4,Post-Graduate,Divorced,$60K - $80K,Blue,54,3,5,3,33085.61,1709.96,31375.65,1.0,9821,83,2.97,0.05
100000095,Existing Customer,41,M,0,Uneducated,Divorced,Less than $40K,Blue,50,2,5,1,6610.86,164.12,6446.74,2.07,18272,52,0.66,0.02
100000096,Existing Customer,47,F,2,Graduate,Married,$120K +,Blue,31,4,2,0,5828.26,892.67,4935.59,0.69,19368,36,2.6,0.15
100000097,Existing Customer,45,F,2,Graduate,Divorced,$120K +,Blue,57,2,5,4,4308.33,1103.89,3204.44,1.03,9151,110,1.66,0.26
100000098,Existing Customer,38,F,4,Graduate,Married,$80K - $120K,Blue,35,1,0,5,5230.77,689.72,4541.05,2.8,19678,138,2.64,0.13
100000099,Existing Customer,45,M,4,Post-Graduate,Single,$80K - $120K,Blue,21,2,2,0,9594.7,1349.67,8245.03,1.63,17501,29,0.82,0.14
100000100,Existing Customer,27,F,2,Graduate,Single,$60K - $80K,Blue,13,1,2,0,24749.14,581.59,24167.55,0.62,1496,27,2.96,0.02
100000101,Existing Customer,60,M,4,Doctorate,Divorced,Unknown,Blue,56,1,3,5,23843.17,2248.57,21594.6,2.07,9137,143,1.29,0.09
100000102,Existing Customer,72,F,1,Uneducated,Divorced,$40K - $60K,Blue,20,6,4,0,26957.7,358.73,26598.97,0.84,4959,79,1.5,0.01
100000103,Existing Customer,44,M,0,College,Married,$80K - $120K,Blue,29,5,3,2,20569.41,1065.13,19504.28,0.3,14249,102,2.81,0.05
100000104,Attrited Customer,70,M,3,Post-Graduate,Divorced,$120K +,Blue,53,3,6,4,17748.77,312.12,17436.65,2.64,19300,14,2.45,0.02
100000105,Existing Customer,62,M,4,College,Divorced,$60K - $80K,Blue,57,2,2,0,15684.06,895.63,14788.43,1.42,16226,117,2.72,0.06
100000106,Existing Customer,31,F,4,College,Divorced,$120K +,Blue,41,6,3,0,30737.88,1211.97,29525.91,2.38,9918,120,2.66,0.04
100000107,Existing Customer,39,M,1,Post-Graduate,Married,$60K - $80K,Blue,14,4,5,1,12679.17,1384.75,11294.42,2.59,7736,93,1.81,0.11
100000108,Existing Customer,29,M,3,Doctorate,Single,Less than $40K,Gold,40,5,2,5,31311.74,828.72,30483.02,1.81,19123,78,0.72,0.03
100000109,Existing Customer,47,M,1,Post-Graduate,Married,$80K - $120K,Blue,18,3,3,6,10368.35,2024.09,8344.26,0.47,1162,126,1.75,0.2
100000110,Existing Customer,64,F,3,Graduate,Married,Unknown,Blue,36,5,1,5,6348.86,1288.54,5060.32,1.1,9185,126,2.99,0.2
100000111,Existing Customer,61,M,0,Uneducated,Divorced,Less than $40K,Blue,35,2,1,6,9674.85,2481.04,7193.81,0.91,679,17,2.01,0.26
100000112,Attrited Customer,59,M,4,Post-Graduate,Single,$80K - $120K,Blue,54,6,2,4,17966.89,308.82,17658.07,1.89,2683,132,2.92,0.02
100000113,Existing Customer,52,M,0,College,Married,Unknown,Blue,17,2,3,0,32480.18,458.86,32021.32,1.35,12864,141,2.47,0.01
100000114,Existing Customer,32,M,3,Post-Graduate,Divorced,Unknown,Blue,26,2,2,0,7028.53,2004.49,5024.04,1.35,9377,18,2.81,0.29
100000115,Attrited Customer,28,F,4,Uneducated,Married,Unknown,Blue,26,3,3,0,20716.66,1385.66,19331.0,2.03,6272,56,0.33,0.07
100000116,Existing Customer,72,M,1,High School,Divorced,$120K +,Blue,51,5,4,6,8402.52,900.06,7502.46,0.29,2571,97,2.25,0.11
100000117,Existing Customer,58,F,2,Doctorate,Single,$120K +,Blue,38,4,3,3,24039.94,1026.12,23013.82,0.57,7070,91,1.36,0.04
100000118,Attrited Customer,27,F,1,College,Single,$40K - $60K,Blue,32,5,3,2,16811.19,1409.47,15401.72,2.69,936,126,2.04,0.08
100000119,Existing Customer,67,M,2,High School,Divorced,$120K +,Blue,56,3,6,4,25940.28,214.45,25725.83,2.54,3774,148,1.77,0.01
100000120,Existing Customer,41,F,1,High School,Married,$60K - $80K,Blue,43,1,2,3,30107.7,1912.82,28194.88,2.84,595,94,1.63,0.06
100000121,Attrited Customer,50,F,3,Uneducated,Married,$40K - $60K,Blue,43,1,3,0,12381.29,1122.84,11258.45,0.79,16352,39,2.13,0.09
100000122,Existing Customer,40,F,0,Doctorate,Single,$60K - $80K,Blue,23,1,2,5,32898.42,1031.29,31867.13,1.15,13506,58,2.84,0.03
100000123,Existing Customer,49,M,2,Post-Graduate,Married,$40K - $60K,Blue,55,4,2,4,16926.35,1932.98,14993.37,0.51,18577,113,1.84,0.11
100000124,Existing Customer,40,F,3,High School,Divorced,$60K - $80K,Blue,20,3,0,3,32845.57,1422.98,31422.59,1.99,7343,110,1.99,0.04
100000125,Existing Customer,56,F,0,Graduate,Divorced,$40K - $60K,Blue,31,3,6,2,8841.17,1885.38,6955.79,2.39,13930,28,0.66,0.21
100000126,Existing Customer,39,M,0,Post-Graduate,Divorced,$80K - $120K,Blue,60,1,2,3,31500.92,2321.59,29179.33,1.93,13706,145,1.66,0.07
100000127,Attrited Customer,39,M,4,Doctorate,Single,Unknown,Blue,26,3,3,6,12344.32,2364.59,9979.73,1.87,19371,136,2.71,0.19
100000128,Existing Customer,31,F,4,College,Single,$80K - $120K,Blue,24,3,6,1,26525.53,1073.17,25452.36,2.45,17511,18,1.28,0.04
100000129,Existing Customer,39,F,4,Post-Graduate,Single,$40K - $60K,Blue,57,2,1,0,33918.21,173.79,33744.42,0.45,5074,34,0.58,0.01
100000130,Existing Customer,42,F,2,Uneducated,Divorced,Less than $40K,Gold,19,4,4,3,32013.51,31.23,31982.28,2.28,9677,50,0.21,0.0
100000131,Existing Customer,43,M,2,Uneducated,Single,$40K - $60K,Blue,32,3,3,5,16764.26,1763.08,15001.18,2.7,10389,13,1.22,0.11
100000132,Existing Customer,45,F,0,College,Divorced,Less than $40K,Blue,56,6,5,2,12726.64,203.86,12522.78,2.01,6942,114,2.88,0.02
100000133,Existing Customer,42,M,2,College,Married,Unknown,Blue,36,1,6,5,21829.64,975.49,20854.15,2.12,6428,48,2.61,0.04
100000134,Attrited Customer,41,F,0,College,Single,$60K - $80K,Blue,46,5,6,5,24997.52,1655.66,23341.86,2.0,13144,30,2.91,0.07
100000135,Existing Customer,65,F,3,Uneducated,Married,$40K - $60K,Blue,51,5,3,6,19368.39,2495.96,16872.43,2.51,16007,103,0.46,0.13
100000136,Existing Customer,64,M,1,Doctorate,Married,Less than $40K,Blue,41,4,3,0,29848.18,557.66,29290.52,1.31,16989,99,0.79,0.02
100000137,Existing Customer,57,F,0,Doctorate,Single,Unknown,Blue,42,3,0,1,2981.08,24.27,2956.81,2.6,12729,121,1.67,0.01
100000138,Existing Customer,69,M,0,Post-Graduate,Single,$40K - $60K,Blue,17,2,1,5,21387.68,103.13,21284.55,0.96,14019,32,2.69,0.0
100000139,Attrited Customer,34,F,3,High School,Married,$80K - $120K,Blue,22,3,3,6,18858.26,558.26,18300.0,0.52,9499,57,1.01,0.03
100000140,Attrited Customer,52,M,4,High School,Married,$80K - $120K,Blue,53,1,5,6,2338.37,2482.52,-144.15,0.37,3813,109,1.0,1.06
100000141,Existing Customer,71,M,5,Graduate,Married,$40K - $60K,Blue,19,6,2,1,1432.18,192.8,1239.38,0.48,19922,101,2.6,0.13
100000142,Existing Customer,58,F,4,Uneducated,Divorced,$40K - $60K,Blue,19,3,1,3,21608.41,1873.16,19735.25,1.48,6484,122,0.45,0.09
100000143,Existing Customer,35,M,4,College,Married,$120K +,Blue,50,5,1,6,5011.96,374.83,4637.13,1.87,3326,149,2.56,0.07
100000144,Existing Customer,42,F,0,Doctorate,Divorced,Unknown,Blue,23,5,3,0,27130.07,509.41,26620.66,1.98,1173,108,1.87,0.02
100000145,Existing Customer,61,M,0,Post-Graduate,Single,$80K - $120K,Blue,14,4,6,3,33274.46,214.82,33059.64,1.78,16881,14,0.32,0.01
100000146,Existing Customer,42,M,2,Doctorate,Married,$60K - $80K,Blue,54,6,2,1,7032.15,570.28,6461.87,0.78,16923,75,2.6,0.08
100000147,Existing Customer,43,M,2,Uneducated,Single,$40K - $60K,Blue,56,1,1,4,28151.52,288.81,27862.71,2.62,7297,115,1.64,0.01
100000148,Existing Customer,48,F,1,Graduate,Married,$120K +,Blue,27,4,6,3,21108.24,43.54,21064.7,0.79,15488,55,0.53,0.0
100000149,Existing Customer,59,M,1,Doctorate,Single,Unknown,Blue,52,3,4,6,16229.95,1996.61,14233.34,2.51,7163,86,2.4,0.12
100000150,Attrited Customer,33,M,5,High School,Married,$40K - $60K,Silver,38,6,2,4,23110.14,476.23,22633.91,2.2,13781,92,1.61,0.02
100000151,Existing Customer,38,M,2,Post-Graduate,Divorced,$80K - $120K,Blue,27,2,1,0,28279.5,296.52,27982.98,1.19,2532,106,1.53,0.01
100000152,Existing Customer,48,F,0,High School,Single,Less than $40K,Blue,16,4,1,1,34001.94,680.5,33321.44,1.38,13009,143,0.48,0.02
100000153,Existing Customer,45,F,3,Post-Graduate,Single,Unknown,Blue,51,5,2,6,23456.77,1884.44,21572.33,2.48,5390,118,0.83,0.08
100000154,Attrited Customer,47,M,2,College,Married,Less than $40K,Blue,23,1,0,3,26395.63,561.97,25833.66,2.96,9266,32,0.73,0.02
100000155,Existing Customer,72,M,0,Post-Graduate,Divorced,$80K - $120K,Blue,14,3,2,3,21655.65,1354.76,20300.89,0.88,13896,114,2.27,0.06
100000156,Existing Customer,48,F,2,College,Divorced,$60K - $80K,Blue,46,1,4,6,20211.54,542.59,19668.95,2.13,5570,141,1.58,0.03
100000157,Existing Customer,66,M,4,Uneducated,Divorced,Unknown,Blue,56,1,0,3,3202.58,967.73,2234.85,0.41,15139,133,1.03,0.3
100000158,Existing Customer,60,M,2,High School,Married,$120K +,Blue,14,1,3,0,6272.52,1303.34,4969.18,0.43,16496,139,1.82,0.21
100000159,Existing Customer,28,M,5,Post-Graduate,Single,$40K - $60K,Blue,42,5,0,5,13894.6,1894.55,12000.05,1.46,17851,50,0.64,0.14
100000160,Existing Customer,59,M,4,Post-Graduate,Married,$40K - $60K,Blue,35,2,4,5,23083.12,704.23,22378.89,0.25,13501,118,0.64,0.03
100000161,Existing Customer,58,M,0,Graduate,Divorced,$40K - $60K,Blue,52,4,4,0,3577.0,1116.2,2460.8,2.75,4201,35,1.4,0.31
100000162,Existing Customer,71,M,4,High School,Divorced,$120K +,Blue,40,5,4,5,19508.83,1607.28,17901.55,1.28,14534,38,2.34,0.08
100000163,Existing Customer,42,F,2,Uneducated,Single,$120K +,Blue,44,6,1,5,1448.2,688.1,760.1,1.27,17287,128,0.66,0.48
100000164,Existing Customer,70,M,4,College,Married,$80K - $120K,Blue,49,2,0,6,27047.18,550.09,26497.09,1.11,3439,139,1.0,0.02
100000165,Existing Customer,44,M,5,Uneducated,Married,$120K +,Blue,27,3,4,2,23675.73,1422.27,22253.46,1.04,510,44,1.21,0.06
100000166,Existing Customer,55,F,3,Graduate,Divorced,$40K - $60K,Blue,44,4,5,6,18702.96,2380.99,16321.97,0.46,15315,21,2.5,0.13
100000167,Existing Customer,48,F,4,Uneducated,Single,Unknown,Blue,21,2,0,6,20418.85,2275.2,18143.65,1.9,19174,93,2.1,0.11
100000168,Existing Customer,40,F,5,College,Single,$40K - $60K,Blue,41,3,5,5,32713.82,1500.91,31212.91,0.91,8639,121,2.16,0.05
100000169,Existing Customer,39,F,4,High School,Divorced,$120K +,Blue,45,6,0,3,31827.68,1054.99,30772.69,1.17,10121,72,0.72,0.03
100000170,Existing Customer,27,M,1,Doctorate,Married,$120K +,Blue,46,4,3,0,27953.55,1414.53,26539.02,1.14,12450,112,1.09,0.05
100000171,Existing Customer,64,F,3,Graduate,Married,$80K - $120K,Blue,18,6,5,1,12431.7,2004.99,10426.71,1.15,17129,116,2.42,0.16
100000172,Existing Customer,43,M,0,Post-Graduate,Single,Less than $40K,Blue,17,3,3,0,4646.39,232.12,4414.27,2.66,14309,33,2.9,0.05
100000173,Existing Customer,31,F,5,Post-Graduate,Single,$120K +,Blue,26,5,6,0,11928.67,1952.97,9975.7,1.52,3110,134,2.02,0.16
100000174,Existing Customer,57,F,4,High School,Divorced,Less than $40K,Blue,43,3,3,3,26566.72,1645.05,24921.67,1.63,13611,127,0.59,0.06
100000175,Existing Customer,46,F,3,Doctorate,Single,$60K - $80K,Platinum,13,6,5,4,21774.03,672.61,21101.42,2.4,10592,99,2.44,0.03
100000176,Existing Customer,65,M,0,Uneducated,Married,Less than $40K,Blue,43,1,6,1,24989.44,2190.1,22799.34,1.06,15120,21,2.87,0.09
100000177,Existing Customer,53,F,3,Post-Graduate,Married,$120K +,Blue,39,5,1,4,4581.2,199.84,4381.36,2.33,11031,123,2.21,0.04
